keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Afghanistan',-0.03353618253669698,1.1392821953941838,-0.2479640494108084,0.6026041391872442,17.0
'Afrika',0.1769236095846259,1.0228751392375441,0.09801841717697464,1.0051594850415027,10.0
'Albanien',-0.6238449036143707,1.0086596477831586,-0.21068196647895282,0.3227414643169172,4.0
'Algerien',0.6498402269478344,1.6382500146683778,-0.4200624378426712,0.03000215282664978,3.0
'Andorra',-0.2935013794060436,1.0,-0.5,1.0,1.0
'Ankara',0.5945827765839158,1.0435896096494037,0.0436033077072255,0.7859856000497766,9.0
'Argentinien',0.19115061520537704,0.687307671935289,-0.006919408544389146,0.7628825293950109,26.0
'Asien',0.6186557221747774,0.263107701606737,-0.41487935989818675,0.0,3.0
'Australien',-2.0834465493644228,1.0,-0.5101731083020946,1.0,1.0
'Bahamas',0.05127431443866535,1.0,-0.4110759604696755,1.0,1.0
'Bahrain',-0.027631037556594386,0.08730219231246873,0.019458817081017266,0.8333097850904714,4.0
'Belgien',1.2164110598894364,0.9684596662754106,-0.3532574211858546,0.07312340681622076,4.0
'Berlin',0.014549684777051911,0.9107098839351592,-0.09221043520209159,0.9413729431401561,92.0
'Brandenburg',-0.023033840184852307,1.18189800097252,-0.1995056505150532,0.6141648546019488,44.0
'Brasilien',0.7996403228515833,1.2330365831121533,-0.030549361065316544,0.5504082648597437,6.0
'Briten',0.303094394243962,0.7212785320136719,-0.4768421013281712,0.05773099754626792,3.0
'Brüssel',0.6312681271234326,0.9594265640011793,-0.49620803470668995,0.09494067257704869,12.0
'Budapest',-0.7071067811865475,1.0,,1.0,1.0
'Ceuta',0.23100346972936672,0.9268805431719408,0.035498458076094426,1.1344083708415031,132.0
'Cherson',-0.10766726875214241,1.0275335421200853,-0.23730340636047348,0.5598821067424101,31.0
'China',-0.024918086536149246,0.980356883881067,0.6269589596953401,2.015506226105333,16.0
'Das Tal',-0.6863900289560628,1.9423927958108729,-0.003918009727468974,0.5640204389430838,2.0
'Demokratische Republik Kongo',0.47608882635181804,0.7610203581724398,0.4422509191188002,1.3938490282303146,20.0
'Deutschland',0.13532913111219794,1.0237327447887379,0.07580530424415079,1.0794333267904306,87.0
'Dubai',-0.9403990098536393,0.945608037402855,-0.43704923514876465,0.02343497445456582,3.0
'Dänemark',-0.16713482941570224,0.5038136815617196,-0.315471272158732,0.18915709482739818,5.0
'England',0.2319999436802431,0.9184900791456921,-0.07107589303361217,0.8784519461590172,86.0
'Estland',-0.5211008003741298,0.20426944793614543,-0.41729750340432226,0.008798590397063974,2.0
'Europa',-0.04765963105363392,0.9416844036738284,0.42038969203191756,1.3015220222750261,93.0
'Finnland',0.40242593212783023,1.361498693442638,0.07796743179374892,0.8485429720787082,6.0
'Frankreich',-0.27473746128715265,0.8956950416435011,0.0352598591380865,1.267506644897792,23.0
'Gaza',-0.8147570738081799,1.3065787724854714,0.04720675058645559,1.179983177834172,13.0
'Georgien',0.8683993847500574,0.8152322707171842,-0.03732409851847857,0.9310136282518823,9.0
'Griechenland',0.3108719708745497,0.8275910694728387,-0.40644509697569653,0.22816492846802497,6.0
'Großbritannien',-0.2571091589192396,1.2337672170252743,-0.4176077643266564,0.07085869117200516,6.0
'Hamas',-0.051682251472113805,1.2626171588686061,0.11372082945340838,0.7690784601552563,12.0
'Hamburg',0.16153899198823382,1.320037095131723,0.12156798707930287,1.4105427935737915,35.0
'Havanna',-0.8283730863770997,1.0,-0.5038805651056494,1.0,1.0
'Hongkong',0.6286597095986787,1.0,-0.5450814557978175,1.0,1.0
'Indien',0.26402827348874325,0.46628815500997667,1.2297175053158973,2.3191654164939868,2.0
'Indonesien',-0.34763587506796506,0.9330188522078756,-0.38954739516906844,0.13271334205409807,11.0
'Irak',1.1315183698793871,1.0,-0.2997829367181143,1.0,1.0
'Iran',-0.3151349790157034,1.1331219160224286,-0.1654978823888412,0.8596864784395095,83.0
'Irland',-0.1886691882890994,2.5019871113865344,-0.38681861567061815,0.039683885056910034,2.0
'Islamabad',-0.421144170637938,0.970523541589757,-0.09473950344966883,0.6172327538456127,17.0
'Israel',0.020543695777873832,0.9170743187739231,-0.1357749264843406,0.575451488576214,43.0
'Istanbul',0.06727167677144039,0.7896635609818597,-0.12673337737584242,0.8153451710229483,38.0
'Italien',0.2011511309201127,0.9029455540014762,0.34259082145001507,1.410074102513321,8.0
'Jakarta',-0.15469831921817445,1.1201349987210463,-0.09268800374083479,0.9566825503980615,8.0
'Japan',-0.20536867325598784,0.5692352429224443,0.16969463427128698,0.9525400471125364,6.0
'Jemen',2.36106790390503,1.0,-0.5101731083020946,1.0,1.0
'Jerusalem',0.41976340421420044,1.0,2.3674426901785472,1.0,1.0
'Jordanien',0.1157610233361733,1.0,-0.41487935989818675,1.0,1.0
'Kabul',0.15213040320759047,1.1239279706367318,0.2575761727857046,1.0585401919063093,19.0
'Kanada',0.24248015203926598,0.8391333851249155,0.25642579756637085,0.858819247339811,9.0
'Kasachstan',-0.18248340800249654,1.0,1.2027527426218816,1.0,1.0
'Kenia',-0.06199161239888963,0.711488822938019,-0.16073216407435928,0.6037238255576611,9.0
'Kiew',-0.03439047683403899,0.9989322376308426,-0.1860221827834342,0.6582194878437749,48.0
'Kosovo',0.02184977060531833,1.0,1.3984317505477846,1.0,1.0
'Krim',-0.047862519967221524,1.0551510136203266,-0.053486317634707584,0.844207649530692,39.0
'Kroatien',0.04723086419203729,1.0,-0.4547059398641403,1.0,1.0
'Krywyj Rih',-0.47773280023696085,1.1175998808111502,0.0843530117888659,1.226475078891226,14.0
'Kuwait',0.8320226965729828,1.0596784665367203,-0.4344654898725721,0.107066740757998,2.0
'Kuwait-Stadt',-0.3217689571268705,1.0,-0.2713259819138935,1.0,1.0
'Kyjiw',0.04685514004772216,0.8890502284216271,0.16245178579991668,1.164084854009958,37.0
'Leipzig',-0.0159159962266092,0.8115986671383756,-0.15138695657921142,0.8888614678320536,44.0
'Lettland',-0.38802321414582935,0.6657270071196582,0.5706210642784753,1.3143402954812533,2.0
'Libanon',-0.24443832664215945,1.2852061590900243,-0.44259771834407263,0.05883588906387303,3.0
'Libyen',0.6486205033033954,1.0,-0.4110759604696755,1.0,1.0
'Litauen',-0.3717614948999505,0.6427294632146326,-0.3807492791374931,0.031100547017158125,2.0
'London',-0.05638553908004898,0.1498738935848379,0.8809863706952964,1.111036367278673,3.0
'Longyearbyen',0.05127431443866535,1.0,-0.4110759604696755,1.0,1.0
'Madrid',0.7600308761885176,1.7558466589118826,0.2889054666620434,1.4036355340354925,4.0
'Malaysia',-0.5727232757743733,1.0,-0.31622776601683794,1.0,1.0
'Malta',-0.3172532233918274,0.5276351353958634,1.3955412998716665,1.318239346760256,6.0
'Marokko',0.3116008450313721,0.49605413921200736,0.3647792529417145,1.274659905839419,25.0
'Melilla',-0.02748599153422576,0.44753009075443057,0.5402229470799106,1.2577177342164594,11.0
'Mexiko',-0.45033140681207123,0.6293678491828951,-0.07725828104247161,0.7583083089312095,6.0
'Mexiko-Stadt',0.7000314136061057,0.6312015163256945,-0.446822643431653,0.07343132656450975,5.0
'Monaco',-1.5398502367203686,1.8968743277775455,-0.4222362544216879,0.09043452018496537,4.0
'Mongolei',0.22851272730921077,0.5066408877527168,-0.2505162832112957,0.21862292972733408,4.0
'Montenegro',0.2305569616946594,1.0,-0.2483991297480216,1.0,1.0
'Mosambik',-1.0948839678661668,1.0,-0.2483991297480216,1.0,1.0
'Moskau',0.003951874254928114,0.8573791704289294,-0.029500531768408948,0.9172609321759442,53.0
'München',-0.6232887722022945,0.9345500833484198,-0.4521330930250593,0.04498608478096063,2.0
'Neu-Delhi',-0.06568724290577528,1.0,-0.4101800873803244,1.0,1.0
'Neuseeland',-0.9138374827145666,1.0,1.0167107787778087,1.0,1.0
'New York',0.7108585221314294,0.7011372534611302,-0.09584314817952294,0.8082527857718689,8.0
'Niger',0.5267131178207975,1.0,0.329825181594181,1.0,1.0
'Nordkorea',0.44098429401856337,1.1676050471005412,0.039986036309632524,0.8649882354882416,3.0
'Nordmazedonien',0.12488042874259615,1.08050442602263,0.21973326849067507,1.555452237563454,6.0
'Norwegen',0.13475111098135964,0.3299648015657873,-0.0738160018980292,0.8313424601459473,12.0
'Nouakchott',0.42844878718252905,0.44220727641963187,-0.4088100233650617,0.008583338039751911,2.0
'Odessa',-0.10109364691718059,0.7155160617050568,0.03004428345487711,0.8598520351641745,43.0
'Ostsee',-0.2567344637171012,0.8430289610472527,0.49254727204145976,1.702610286969019,4.0
'Ottawa',0.8059990959655416,1.0,-0.4101800873803244,1.0,1.0
'Pakistan',0.10595022768839146,0.6797591021719224,-0.26202316414778365,0.3391398719888788,6.0
'Palau',-0.48463716482253383,0.2751934919853177,2.5050480701206395,2.4837705074116982,2.0
'Panama',0.8131998341477947,1.0,-0.4027406868319367,1.0,1.0
