,phrase,label,sentiment,subjectivity,language,count
“,“,MISC,-0.5944444444444443,0.8888888888888888,de,313
Iran-Krieg,Iran-Krieg,MISC,,,de,209
"Link
","Link
",MISC,,,de,166
Waffenruhe,Waffenruhe,MISC,-0.375,0.375,de,107
israelische,israelische,MISC,,,de,102
israelischen,israelischen,MISC,,,de,93
iranische,iranische,MISC,,,de,89
iranischen,iranischen,MISC,,,de,80
ESC,ESC,MISC,,,de,66
Krieg,Krieg,MISC,,,de,59
deutsche,deutsche,MISC,,,de,56
Iran-Kriegs,Iran-Kriegs,MISC,,,de,55
deutschen,deutschen,MISC,,,de,46
Eurovision Song Contest,Eurovision Song Contest,MISC,,,de,44
britische,britische,MISC,,,de,40
russischen,russischen,MISC,,,de,30
amerikanische,amerikanische,MISC,,,de,28
britischen,britischen,MISC,,,de,26
Irankrieg,Irankrieg,MISC,,,de,26
israelischer,israelischer,MISC,,,de,25
iranischer,iranischer,MISC,,,de,24
Krieg in Nahost,Krieg in Nahost,MISC,,,de,24
russisches,russisches,MISC,,,de,23
Schweizer,Schweizer,MISC,,,de,23
Krieges,Krieges,MISC,,,de,22
ukrainische,ukrainische,MISC,,,de,21
chinesische,chinesische,MISC,,,de,21
stern+,stern+,MISC,,,de,19
Capital</li><li>4,Capital</li><li>4,MISC,,,de,19
stern+statt,stern+statt,MISC,,,de,19
Israelische,Israelische,MISC,,,de,19
russische,russische,MISC,,,de,18
Irankriegs,Irankriegs,MISC,,,de,17
Zeit,Zeit,MISC,-1.3,1.3333333333333333,de,17
Ostern,Ostern,MISC,,,de,16
türkischen,türkischen,MISC,,,de,16
amerikanischen,amerikanischen,MISC,,,de,15
Gaza-Krieg,Gaza-Krieg,MISC,,,de,15
Iran-Krieges,Iran-Krieges,MISC,,,de,15
pakistanischen,pakistanischen,MISC,,,de,14
europäischen,europäischen,MISC,,,de,14
libanesischen,libanesischen,MISC,,,de,14
russischem,russischem,MISC,,,de,13
russischer,russischer,MISC,,,de,12
pakistanische,pakistanische,MISC,,,de,12
französische,französische,MISC,,,de,11
chinesischen,chinesischen,MISC,,,de,11
jüdische,jüdische,MISC,,,de,11
libanesische,libanesische,MISC,,,de,11
Trump,Trump,MISC,-0.05263157894736842,0.10526315789473684,de,10
Krieg gegen den Iran,Krieg gegen den Iran,MISC,,,de,10
Angriff,Angriff,MISC,,,de,10
Juden,Juden,MISC,,,de,10
europäische,europäische,MISC,,,de,10
Persischen Golf,Persischen Golf,MISC,-0.2583333333333333,0.0,de,10
arabischen,arabischen,MISC,,,de,10
britischer,britischer,MISC,,,de,10
Fußball-WM,Fußball-WM,MISC,,,de,10
afghanische,afghanische,MISC,,,de,9
…,…,MISC,0.016666666666666666,0.0,de,9
Hisbollah-Miliz,Hisbollah-Miliz,MISC,-0.06999999999999999,0.0,de,9
Fußball-Weltmeisterschaft,Fußball-Weltmeisterschaft,MISC,,,de,8
Berliner,Berliner,MISC,,,de,8
Iranische,Iranische,MISC,,,de,8
französischen,französischen,MISC,,,de,8
Iran-Liveblog,Iran-Liveblog,MISC,-0.35,0.0,de,8
WM,WM,MISC,,,de,8
d…,d…,MISC,-0.11666666666666665,0.0,de,7
OpenAI,OpenAI,MISC,,,de,7
Gaza-Aktivisten,Gaza-Aktivisten,MISC,,,de,7
Nahost“,Nahost“,MISC,,,de,7
Grenze,Grenze,MISC,,,de,7
Gaza-Hilfsflotte,Gaza-Hilfsflotte,MISC,-0.3125,0.0,de,7
S…,S…,MISC,,,de,7
jüdischen,jüdischen,MISC,,,de,7
Krieg in Nahost“,Krieg in Nahost“,MISC,,,de,7
ukrainischen,ukrainischen,MISC,,,de,7
polnischen,polnischen,MISC,,,de,7
syrischer,syrischer,MISC,,,de,7
ePaper,ePaper,MISC,,,de,6
norwegischen,norwegischen,MISC,,,de,6
Weltmeisterschaft,Weltmeisterschaft,MISC,,,de,6
britischem,britischem,MISC,,,de,6
Kriegsbeginn,Kriegsbeginn,MISC,,,de,6
