,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
US-Präsident,US-Präsident,LOC,-0.15663430420711974,0.06310679611650485,de,103,,,,,,,,,,
Straße von Hormus,Straße von Hormus,LOC,0.011442786069651744,0.04975124378109453,de,67,,,,,,,,,,
…,…,LOC,-0.02258064516129032,0.06451612903225806,de,31,,,,,,,,,,
Nato-Gipfel,Nato-Gipfel,LOC,0.027999999999999997,0.12,de,25,,,,,,,,,,
Landes,Landes,LOC,0.015740740740740746,0.046296296296296294,de,18,#73efed,#73efed,EUROPE-AFRICA,,3007868,44.25,-1.0,L,France,MED
Privacy Center,Privacy Center,LOC,0.0,0.0,de,15,,,,,,,,,,
Trump,Trump,LOC,-0.2076923076923077,0.0,de,13,#125e0a,#125e0a,POLAR,,6627046,-66.03882,-65.96845,T,,WAN
Engländer,Engländer,LOC,0.0,0.0,de,11,#7fdff0,#7fdff0,EUROPE,,2930137,50.05,9.3,S,Germany,WCE
Leonardo,Leonardo,LOC,0.0,0.0,de,10,#4ee830,#4ee830,SOUTH-AMERICA,,3645214,11.41487,-69.68166,S,Venezuela,NSA
Kreml,Kreml,LOC,-0.034999999999999996,0.05,de,10,#f292af,#f292af,ASIA,,2116480,59.29103,162.17127,T,Russia,RFE
Ceuta,Ceuta,LOC,0.06999999999999999,0.4,de,10,#62ede1,#62ede1,EUROPE-AFRICA,4085201-5,6362987,35.88919,-5.32042,P,Spain,MED
Chagos-Inseln,Chagos-Inseln,LOC,-0.07777777777777778,0.0,de,9,,,,,,,,,,
Moldau,Moldau,LOC,0.08703703703703704,0.12962962962962962,de,9,,,,,,,,,,
G7,G7,LOC,0.34375,0.0,de,8,,,,,,,,,,
Kraft,Kraft,LOC,-0.14285714285714285,0.0,de,7,,,,,,,,,,
Flughafen,Flughafen,LOC,-0.042857142857142864,0.0,de,7,,,,,,,,,,
Netanjahu,Netanjahu,LOC,0.09999999999999999,0.14285714285714285,de,7,,,,,,,,,,
Devonport,Devonport,LOC,0.0,0.0,de,7,,,,,,,,,,
Gewitter,Gewitter,LOC,-0.09999999999999999,0.0,de,7,,,,,,,,,,
Sachsen,Sachsen,LOC,0.0,0.0,de,7,,,,,,,,,,
Schwarzen Meer,Schwarzen Meer,LOC,0.014285714285714266,0.0,de,7,,,,,,,,,,
Land,Land,LOC,-0.19999999999999998,0.0,de,7,,,,,,,,,,
Bürgenstock,Bürgenstock,LOC,0.0,0.0,de,6,,,,,,,,,,
Ärmelkanal,Ärmelkanal,LOC,-0.16666666666666666,0.0,de,6,,,,,,,,,,
US-Präsidenten,US-Präsidenten,LOC,0.08333333333333333,0.08333333333333333,de,6,,,,,,,,,,
Hannover,Hannover,LOC,0.3333333333333333,0.0,de,6,,,,,,,,,,
Danzig,Danzig,LOC,0.2,0.0,de,5,,,,,,,,,,
Waffenruhe,Waffenruhe,LOC,0.0,0.0,de,5,,,,,,,,,,
Bremen,Bremen,LOC,0.0,0.0,de,5,,,,,,,,,,
US-Amerikaners,US-Amerikaners,LOC,0.0,0.0,de,5,,,,,,,,,,
Kyjiw,Kyjiw,LOC,0.0,0.0,de,5,,,,,,,,,,
Nato-Chef,Nato-Chef,LOC,0.63,0.0,de,5,,,,,,,,,,
Amerikanern,Amerikanern,LOC,0.35,0.1,de,5,,,,,,,,,,
Südlibanon,Südlibanon,LOC,0.0,0.0,de,5,,,,,,,,,,
Kostjantyniwka,Kostjantyniwka,LOC,-0.4,0.0,de,5,,,,,,,,,,
Nordamerika,Nordamerika,LOC,0.0,0.0,de,5,,,,,,,,,,
Golf,Golf,LOC,0.13999999999999999,0.0,de,5,,,,,,,,,,
Sumy,Sumy,LOC,0.0,0.0,de,5,,,,,,,,,,
Belfast,Belfast,LOC,-0.25,0.0,de,4,,,,,,,,,,
US-Regierung,US-Regierung,LOC,0.0,0.0,de,4,,,,,,,,,,
Aktienmarkt,Aktienmarkt,LOC,-0.07500000000000001,0.0,de,4,,,,,,,,,,
Tsunamiwellen,Tsunamiwellen,LOC,-0.7,0.0,de,4,,,,,,,,,,
Genf,Genf,LOC,0.2333333333333333,0.16666666666666666,de,4,,,,,,,,,,
Weiße Haus,Weiße Haus,LOC,0.0,0.0,de,4,,,,,,,,,,
Sewastopol,Sewastopol,LOC,0.0,0.0,de,4,,,,,,,,,,
Bund,Bund,LOC,0.2125,0.0,de,4,,,,,,,,,,
Bundesinnenministerium,Bundesinnenministerium,LOC,0.0,0.25,de,4,,,,,,,,,,
Mbappé,Mbappé,LOC,0.0,0.0,de,4,,,,,,,,,,
Samara,Samara,LOC,-0.25,0.0,de,4,,,,,,,,,,
Manhattan,Manhattan,LOC,-0.25,0.0,de,4,,,,,,,,,,
pakistanisch-afghanischen Grenze,pakistanisch-afghanischen Grenze,LOC,0.0,0.0,de,4,,,,,,,,,,
Kansas City,Kansas City,LOC,0.5249999999999999,0.0,de,4,,,,,,,,,,
Wiesbaden,Wiesbaden,LOC,0.25,0.0,de,4,,,,,,,,,,
Temperaturrekord,Temperaturrekord,LOC,0.0,0.0,de,4,,,,,,,,,,
Hitze,Hitze,LOC,0.0,0.25,de,4,,,,,,,,,,
