,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,0.02222222222222222,0.05555555555555555,de,72
Hisbollah,Hisbollah,ORG,-0.05952380952380952,0.011904761904761904,de,42
CDU,CDU,ORG,0.004279279279279264,0.05405405405405406,de,37
picture alliance,picture alliance,ORG,0.08235294117647059,0.029411764705882353,de,34
Nato,Nato,ORG,-0.06666666666666667,0.041666666666666664,de,24
Hamas,Hamas,ORG,0.047826086956521734,0.0,de,23
Taliban,Taliban,ORG,0.2357142857142857,0.0,de,21
GEO,GEO,ORG,1.0,0.0,de,19
NATO,NATO,ORG,-0.027777777777777776,0.027777777777777776,de,18
israelische Armee,israelische Armee,ORG,-0.22777777777777775,0.0,de,18
SPD,SPD,ORG,0.06851851851851852,0.0,de,18
EU-Kommission,EU-Kommission,ORG,0.2647058823529412,0.0,de,17
Bundeswehr,Bundeswehr,ORG,0.10333333333333332,0.0,de,15
Israels Armee,Israels Armee,ORG,-0.08666666666666668,0.0,de,15
TTS-Player,TTS-Player,ORG,0.18928571428571428,0.0,de,14
Europäischen Union,Europäischen Union,ORG,-0.010714285714285716,0.0,de,14
Cookies,Cookies,ORG,0.7,0.0,de,14
Deutschland,Deutschland,ORG,-0.13076923076923078,0.0,de,13
Iran,Iran,ORG,-0.11923076923076924,0.11538461538461539,de,13
Trump,Trump,ORG,-0.05833333333333333,0.0,de,12
UN,UN,ORG,-0.06363636363636364,0.0,de,11
US-Angriff,US-Angriff,ORG,-0.06999999999999999,0.0,de,10
China,China,ORG,0.3,0.0,de,10
Militär,Militär,ORG,-0.155,0.0,de,10
REUTERS,REUTERS,ORG,0.06999999999999999,0.0,de,10
US-Marine,US-Marine,ORG,-0.07777777777777778,0.1111111111111111,de,9
Formel 1,Formel 1,ORG,0.14444444444444446,0.0,de,9
F.A.Z.,F.A.Z.,ORG,0.0,0.0,de,9
IQAir,IQAir,ORG,0.0,0.0,de,8
Knesset,Knesset,ORG,0.0,0.0,de,8
…,…,ORG,0.11875000000000001,0.0,de,8
US-Militärs,US-Militärs,ORG,0.125,0.125,de,8
EU-Parlament,EU-Parlament,ORG,0.26249999999999996,0.125,de,8
FIFA,FIFA,ORG,0.19999999999999998,0.0,de,7
israelischen Armee,israelischen Armee,ORG,-0.42857142857142855,0.0,de,7
US-Armee,US-Armee,ORG,0.0,0.0,de,7
AfD,AfD,ORG,-0.06666666666666665,0.0,de,7
UN-Menschenrechtsbüro,UN-Menschenrechtsbüro,ORG,0.2857142857142857,0.0,de,7
US-Militär,US-Militär,ORG,0.0,0.3333333333333333,de,6
Vereinten Nationen,Vereinten Nationen,ORG,-0.11666666666666665,0.0,de,6
Porsche,Porsche,ORG,0.2333333333333333,0.0,de,6
Eintracht Frankfurt,Eintracht Frankfurt,ORG,0.0,0.16666666666666666,de,6
Lufthansa,Lufthansa,ORG,-0.10000000000000002,0.0,de,6
Sudan-Konferenz,Sudan-Konferenz,ORG,0.16666666666666666,0.16666666666666666,de,6
BBC,BBC,ORG,-0.5,0.0,de,6
FBI,FBI,ORG,-0.11666666666666665,0.0,de,6
Europäische Union,Europäische Union,ORG,-0.19166666666666665,0.05555555555555555,de,6
Hizbullah,Hizbullah,ORG,-0.3333333333333333,0.0,de,6
ntv,ntv,ORG,0.7000000000000001,0.0,de,6
WHO,WHO,ORG,-0.3333333333333333,0.0,de,6
Bertelsmann Stiftung,Bertelsmann Stiftung,ORG,0.0,0.16666666666666666,de,6
EU-Länder,EU-Länder,ORG,0.08333333333333331,0.05555555555555555,de,6
Anadolu,Anadolu,ORG,0.0,0.0,de,5
CIA,CIA,ORG,0.2,0.0,de,5
NATO-Staaten,NATO-Staaten,ORG,-0.13999999999999999,0.0,de,5
Afghanistan,Afghanistan,ORG,0.0,0.2,de,5
W…,W…,ORG,0.13999999999999999,0.0,de,5
Airbus,Airbus,ORG,-0.41999999999999993,0.0,de,5
Bundestag,Bundestag,ORG,0.065,0.0,de,5
BASF,BASF,ORG,-0.13999999999999999,0.0,de,5
Truth Social,Truth Social,ORG,-0.13999999999999999,0.0,de,5
ei…,ei…,ORG,-0.24,0.0,de,5
pakistanische Luftwaffe,pakistanische Luftwaffe,ORG,0.0,0.0,de,5
Russland,Russland,ORG,0.0,0.0,de,5
Sky,Sky,ORG,0.2,0.0,de,5
US-Streitkräfte,US-Streitkräfte,ORG,-0.13999999999999999,0.0,de,5
FC Bayern,FC Bayern,ORG,0.2,0.0,de,5
