,phrase,label,sentiment,subjectivity,language,count
Donald Trump,Donald Trump,PER,-0.08481481481481483,0.05833333333333334,de,180
Friedrich Merz,Friedrich Merz,PER,-0.0035519125683060094,0.06557377049180328,de,61
Liveblog Irankrieg,Liveblog Irankrieg,PER,0.03548387096774193,0.03225806451612903,de,31
Papst Leo XIV,Papst Leo XIV,PER,0.01363636363636364,0.09090909090909091,de,22
Ahmed al-Scharaa,Ahmed al-Scharaa,PER,-0.09999999999999999,0.0,de,17
Xi Jinping,Xi Jinping,PER,0.159375,0.0,de,16
Johann Wadephul,Johann Wadephul,PER,0.04642857142857143,0.03571428571428571,de,14
Benjamin Netanjahu,Benjamin Netanjahu,PER,-0.14615384615384613,0.19230769230769232,de,13
Keir Starmer,Keir Starmer,PER,0.09444444444444444,0.027777777777777776,de,12
Marco Rubio,Marco Rubio,PER,0.4318181818181818,0.0,de,11
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,0.009090909090909089,0.0303030303030303,de,11
Ali Chamenei,Ali Chamenei,PER,-0.36818181818181817,0.045454545454545456,de,11
Cheng Li-wun,Cheng Li-wun,PER,0.21818181818181817,0.0,de,11
Ali Laridschani,Ali Laridschani,PER,-0.016666666666666656,0.0,de,9
Yoon Suk Yeol,Yoon Suk Yeol,PER,-0.2222222222222222,0.0,de,9
Javier Milei,Javier Milei,PER,-0.15555555555555556,0.0,de,9
Diego Garcia,Diego Garcia,PER,0.0,0.0,de,8
Shelly Kittleson,Shelly Kittleson,PER,0.21874999999999997,0.0,de,8
Donald Trumps,Donald Trumps,PER,-0.01874999999999999,0.125,de,8
Leo XIV,Leo XIV,PER,-0.09999999999999999,0.0,de,7
Winston Churchill,Winston Churchill,PER,0.5285714285714286,0.0,de,7
Viktor Orbán,Viktor Orbán,PER,-0.2857142857142857,0.0,de,7
Israel Katz,Israel Katz,PER,0.09999999999999999,0.0,de,7
Mike Huckabee,Mike Huckabee,PER,0.425,0.0,de,6
Amira Aly,Amira Aly,PER,0.0,0.0,de,6
Andreas Büttner,Andreas Büttner,PER,-0.3,0.0,de,6
Pete Hegseth,Pete Hegseth,PER,0.0,0.0,de,6
Tayyip Erdogan,Tayyip Erdogan,PER,0.20999999999999996,0.4,de,5
Milo Rau,Milo Rau,PER,-0.78,0.0,de,5
Annalena Baerbock,Annalena Baerbock,PER,-0.27999999999999997,0.0,de,5
Jeffrey Epstein,Jeffrey Epstein,PER,0.13999999999999999,0.6,de,5
Trumps Friedensrat,Trumps Friedensrat,PER,0.0,0.0,de,5
Wladimir Putin,Wladimir Putin,PER,0.2,0.0,de,5
Julian Nagelsmann,Julian Nagelsmann,PER,-0.13999999999999999,0.0,de,5
Céline Dion,Céline Dion,PER,0.26,0.0,de,5
Giorgia Meloni,Giorgia Meloni,PER,0.0,0.0,de,5
Emmanuel Macron,Emmanuel Macron,PER,0.13999999999999999,0.0,de,5
Robert Fico,Robert Fico,PER,-0.225,0.08333333333333333,de,4
Ex-Präsident Yoon,Ex-Präsident Yoon,PER,-0.25,0.0,de,4
Prinz Harry,Prinz Harry,PER,0.175,0.0,de,4
Yair Golan,Yair Golan,PER,-0.175,0.0,de,4
Oscar Olivares,Oscar Olivares,PER,-0.175,0.0,de,4
Narendra Modi,Narendra Modi,PER,0.25,0.0,de,4
Robert Golob,Robert Golob,PER,0.14166666666666666,0.0,de,4
Anna Heiser,Anna Heiser,PER,-0.6999999999999998,0.0,de,4
Angela Merkel,Angela Merkel,PER,-0.125,0.25,de,4
