topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Angola,0.9483883810380102,0.5658160867364909,0.7369085526575192,1.6008230198567486,2.0
Antarctica,-0.1437065181822263,0.9112070905249202,0.5906329258238556,1.3449076229817885,34.0
Australia,0.025163411005314478,1.6203227127073294,-0.2553926856497368,0.4078864058254943,6.0
Austria,0.24084467917329969,0.9827499442353962,-0.15681590159329914,0.32060767159956477,7.0
Azerbaijan,-1.4881164930978152,1.0,-0.3102030463043459,1.0,1.0
Bangladesh,-0.06224275841801606,1.0,-0.27735009811261463,1.0,1.0
Belgium,1.048588350776964,1.3101589973036742,-0.31018796745530514,0.0,2.0
Bermuda,-0.4393026991715487,1.0,-0.3102030463043459,1.0,1.0
Bolivia,-0.11674867375241856,0.7868769116484674,-0.315626464260105,0.3347295598534097,40.0
Brazil,0.488507073502973,0.8026422226178325,0.5276634497174808,1.852123124993764,6.0
Cabo Verde,1.1189804807963104,1.0,-0.33787998185369594,1.0,1.0
Canada,-0.26384325707652984,0.5458995822098643,-0.31018796745530514,0.0,2.0
Chile,-0.3528306368528587,0.9422217472810863,-0.3607066009541781,0.0650104335819073,3.0
China,0.29425264200759316,1.0768438079704483,-0.32616811207680907,0.15868025128306348,10.0
Christmas Island,0.48607866997547167,0.3125809525404123,2.6556264170993513,1.0,2.0
Colombia,-0.6375429673527159,0.8165310638724298,0.25332006110873767,1.6206617531311287,6.0
Cuba,-0.46629368066047305,1.0,-0.4340518535535333,1.0,1.0
Cyprus,-0.14067502902066611,1.0,0.474528510332335,1.0,1.0
Egypt,0.18780145740351145,0.807943221529035,-0.3275144522111241,0.03682461980983348,2.0
Faroe Islands,0.8166509718870198,1.0,,1.0,1.0
France,-1.0659909839914552,1.6803077766397012,-0.31055873422941643,0.0005243434004255186,2.0
Germany,5.151861057310041e-05,0.8920276938364974,0.2417819586538759,1.1548125247528793,28.0
Greece,-0.40771062221542753,1.0,,1.0,1.0
Greenland,1.2420885461072455,1.0,1.223985303443839,1.0,1.0
Heard Island and McDonald Islands,1.3553972281811135,1.0,1.2341300268111635,1.0,1.0
Hungary,-0.025494865126236537,1.0,-0.4099582414060109,1.0,1.0
Iceland,0.054617704314619056,0.6378702665816605,-0.21053673721161434,0.22747114486168693,5.0
India,-0.06224275841801606,1.0,-0.27735009811261463,1.0,1.0
Israel,-0.084191265443658,0.9316640387310701,-0.20999837888083386,0.7321486328398635,58.0
Italy,0.02100833841720462,0.7822418991700055,0.275217299331434,1.003058055382797,2.0
Japan,-0.17206382065475234,0.4161038584752273,-0.3721199105044192,0.08758499380417528,2.0
Lebanon,0.26709222928410414,0.9359604946154549,-0.4505123726076073,0.14862427836709133,3.0
Liechtenstein,0.900300476459477,1.3879570970430442,0.17576937188099842,1.0111069116880291,7.0
Madagascar,1.2472409286537658,1.0,2.4748737341529163,1.0,1.0
Malaysia,-0.5042804185926923,1.1134687559697705,-0.2987567640493302,0.24044607049749922,4.0
Maldives,-0.17541872565888525,0.7304184190177965,0.0040763863399531485,0.8043740487751065,26.0
Myanmar,-0.15370633617509363,1.0391401026587812,0.14326323959461723,1.074131452010807,35.0
Namibia,0.41371987699210266,0.964383618939046,0.32266825080962597,1.769968196567767,9.0
New Zealand,1.884380942070123,0.48846352654976083,0.8429171453352303,0.2966507376758014,2.0
Niger,-0.1927051558558773,0.5301168193662851,-0.4211218749314238,0.07758918231540478,3.0
Nigeria,0.5116720242925267,1.0,-0.43361037646096345,1.0,1.0
Norway,0.54,1.0,0.0,1.0,1.0
Pakistan,0.1867408333166724,1.0,-0.3950442601627149,1.0,1.0
Palestinian Territory,-0.09855911671745779,0.9617948643361836,-0.08410467399331754,0.8974810202262953,162.0
Peru,2.1898146342007587,1.0,-0.5783155333522247,1.0,1.0
Poland,0.17964981043783038,1.0,0.40786392932166854,1.0,1.0
Portugal,-0.1877004636558106,1.0,-0.33787998185369594,1.0,1.0
Qatar,-0.6036115879164929,1.0,,1.0,1.0
Russia,0.32088230126159933,1.1202234294269158,0.530797608015781,2.119998395775476,5.0
Saint Martin,0.5200375647313904,0.8680012994620379,0.4705019954501497,1.1735130853665552,4.0
San Marino,-1.5222107256596362,0.2948180718781555,-0.31018796745530514,1.0,2.0
Saudi Arabia,0.05805411315266561,1.0,2.0605806727318656,1.0,1.0
Seychelles,0.006309085054096368,0.8993352302994578,0.11556925542936869,1.1147339560883816,6.0
South Africa,0.11410907003485547,0.414967168502841,0.2559021549378137,1.0607429700437825,3.0
Spain,-0.390452728345908,0.8343432850572232,-0.3996309207005438,0.12647011282530068,3.0
Sri Lanka,-0.29246876802187133,1.0,-0.3102030463043459,1.0,1.0
Sudan,-0.5219694873400132,0.9109451978527229,-0.360073104430658,0.07054823727138361,2.0
Sweden,-0.8345879361648707,1.0,-0.33333333333333326,1.0,1.0
Switzerland,0.11009707776128094,0.7289281472004094,-0.303366311263885,0.004227951596142518,5.0
Syria,0.582337477591074,0.14127441224668397,1.059936803421974,0.9672803096735776,2.0
Taiwan,0.483106902803331,1.11786003258638,0.05957306327648327,0.8702135346548616,12.0
Thailand,0.23582074632726904,1.0,-0.3014755138289743,1.0,1.0
Turkey,0.1230701269697106,1.142018203050465,-0.015686946280146902,1.1315246910907475,85.0
Ukraine,-0.19493450481001187,0.7930181218449578,0.3795746169637214,1.1591465655011037,10.0
United Kingdom,-0.40324380390467146,0.9036475987013888,0.8690693951319653,1.2878964449875283,3.0
United States,0.13303939941878154,1.0223226594369983,0.10465736896444233,1.21500031502032,14.0
Vatican,0.10289754375256228,0.9859516237676718,-0.04852027527991519,0.9282055236585618,67.0
Venezuela,-0.15215533269081738,1.317058653731504,-0.15731487466911684,0.6259972881172858,7.0
